,sepal_length,sepal_width,petal_length,petal_width,species,is_duplicate
0,5.1,3.5,1.4,0.2,setosa,False
1,4.9,3.0,1.4,0.2,setosa,False
2,4.7,3.2,1.3,0.2,setosa,False
3,4.6,3.1,1.5,0.2,setosa,False
4,5.0,3.6,1.4,0.2,setosa,False
5,5.4,3.9,1.7,0.4,setosa,False
6,4.6,3.4,1.4,0.3,setosa,False
7,5.0,3.4,1.5,0.2,setosa,False
8,4.4,2.9,1.4,0.2,setosa,False
9,4.9,3.1,1.5,0.1,setosa,False
10,5.4,3.7,1.5,0.2,setosa,False
11,4.8,3.4,1.6,0.2,setosa,False
12,4.8,3.0,1.4,0.1,setosa,False
13,4.3,3.0,1.1,0.1,setosa,False
14,5.8,4.0,1.2,0.2,setosa,False
15,5.7,4.4,1.5,0.4,setosa,False
16,5.4,3.9,1.3,0.4,setosa,False
17,5.1,3.5,1.4,0.3,setosa,False
18,5.7,3.8,1.7,0.3,setosa,False
19,5.1,3.8,1.5,0.3,setosa,False
20,5.4,3.4,1.7,0.2,setosa,False
21,5.1,3.7,1.5,0.4,setosa,False
22,4.6,3.6,1.0,0.2,setosa,False
23,5.1,3.3,1.7,0.5,setosa,False
24,4.8,3.4,1.9,0.2,setosa,False
25,5.0,3.0,1.6,0.2,setosa,False
26,5.0,3.4,1.6,0.4,setosa,False
27,5.2,3.5,1.5,0.2,setosa,False
28,5.2,3.4,1.4,0.2,setosa,False
29,4.7,3.2,1.6,0.2,setosa,False
30,4.8,3.1,1.6,0.2,setosa,False
31,5.4,3.4,1.5,0.4,setosa,False
32,5.2,4.1,1.5,0.1,setosa,False
33,5.5,4.2,1.4,0.2,setosa,False
35,5.0,3.2,1.2,0.2,setosa,False
36,5.5,3.5,1.3,0.2,setosa,False
38,4.4,3.0,1.3,0.2,setosa,False
39,5.1,3.4,1.5,0.2,setosa,False
40,5.0,3.5,1.3,0.3,setosa,False
41,4.5,2.3,1.3,0.3,setosa,False
42,4.4,3.2,1.3,0.2,setosa,False
43,5.0,3.5,1.6,0.6,setosa,False
44,5.1,3.8,1.9,0.4,setosa,False
45,4.8,3.0,1.4,0.3,setosa,False
46,5.1,3.8,1.6,0.2,setosa,False
47,4.6,3.2,1.4,0.2,setosa,False
48,5.3,3.7,1.5,0.2,setosa,False
49,5.0,3.3,1.4,0.2,setosa,False
50,7.0,3.2,4.7,1.4,versicolor,False
51,6.4,3.2,4.5,1.5,versicolor,False
52,6.9,3.1,4.9,1.5,versicolor,False
53,5.5,2.3,4.0,1.3,versicolor,False
54,6.5,2.8,4.6,1.5,versicolor,False
55,5.7,2.8,4.5,1.3,versicolor,False
56,6.3,3.3,4.7,1.6,versicolor,False
57,4.9,2.4,3.3,1.0,versicolor,False
58,6.6,2.9,4.6,1.3,versicolor,False
59,5.2,2.7,3.9,1.4,versicolor,False
60,5.0,2.0,3.5,1.0,versicolor,False
61,5.9,3.0,4.2,1.5,versicolor,False
62,6.0,2.2,4.0,1.0,versicolor,False
63,6.1,2.9,4.7,1.4,versicolor,False
64,5.6,2.9,3.6,1.3,versicolor,False
65,6.7,3.1,4.4,1.4,versicolor,False
66,5.6,3.0,4.5,1.5,versicolor,False
67,5.8,2.7,4.1,1.0,versicolor,False
68,6.2,2.2,4.5,1.5,versicolor,False
69,5.6,2.5,3.9,1.1,versicolor,False
70,5.9,3.2,4.8,1.8,versicolor,False
71,6.1,2.8,4.0,1.3,versicolor,False
